"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"CTXR","Citius Pharmaceuticals, Inc.","1.22","$55.13M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ctxr",
"CTXRW","Citius Pharmaceuticals, Inc.","0.32","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ctxrw",
"CZNC","Citizens & Northern Corp","19.65","$270.9M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/cznc",
"CZWI","Citizens Community Bancorp, Inc.","6.96","$77.61M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/czwi",
"CFG","Citizens Financial Group, Inc.","23.76","$10.14B","2014","Finance","Major Banks","https://old.nasdaq.com/symbol/cfg",
"CFG^D","Citizens Financial Group, Inc.","25.62","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cfg^d",
"CFG^E","Citizens Financial Group, Inc.","22.802","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cfg^e",
"CIZN","Citizens Holding Company","24.8","$138.64M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/cizn",
"CIA","Citizens, Inc.","5.73","$306.43M","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/cia",
"CTXS","Citrix Systems, Inc.","150.06","$18.53B","1995","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ctxs",
"CHCO","City Holding Company","62.3","$1.01B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/chco",
"CIO","City Office REIT, Inc.","10.01","$473.5M","2014","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cio",
"CIO^A","City Office REIT, Inc.","23.45","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cio^a",
"CVEO","Civeo Corporation","0.58","$98.97M","2014","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/cveo",
"CIVB","Civista Bancshares, Inc. ","15.35","$246.19M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/civb",
